"""uuid""","""name""","""id"""
"""a4a2d9ab-62cf-429a-861b-63fe27aecf93""","""House Dayne""","""/wiki/House_Dayne"""
"""c0be91cf-4b0a-4545-ae2f-ee846731ccea""","""House Tollett""","""/wiki/House_Tollett"""
"""8bdc6498-0428-41a5-a1be-4575aa733bde""","""House Reed""","""/wiki/House_Reed"""
"""b3e69b82-1a7b-471b-b887-3c9a34c59a1f""","""House Slynt""","""/wiki/House_Slynt"""
"""c548b23c-70b7-43d4-a932-4b1fb56d9c47""","""House Baratheon of King's Landing""","""/wiki/House_Baratheon_of_King%27s_Landing"""
"""25a249bf-2cf1-4348-a5da-387764465b3c""","""House Payne""","""/wiki/House_Payne"""
"""73c4a542-dbb8-43cc-9478-f354136ce843""","""House Crakehall""","""/wiki/House_Crakehall"""
"""d14c5103-c723-4f7a-9e89-3eb230f01629""","""House Glover""","""/wiki/House_Glover"""
"""b56d79cb-711d-459b-913d-797fa7cf0b54""","""House Baratheon of Storm's End""","""/wiki/House_Baratheon_of_Storm%27s_End"""
"""9b527160-c7d2-4edc-aa83-63224c09bb58""","""House Hunter""","""/wiki/House_Hunter"""
"""bcee3e61-6db9-46eb-87c4-b66e878571a7""","""House of Eraz""","""/wiki/House_of_Eraz"""
"""b399fb8a-27f9-4800-a4a1-eaf7d429be07""","""House Hoare""","""/wiki/House_Hoare"""
"""5bd3391e-554d-4710-99e0-a7c5a85cb7f1""","""House Lannister""","""/wiki/House_Lannister"""
"""fac73a70-39b7-41e5-aeb7-3ccd777fc72a""","""House Baratheon of Dragonstone""","""/wiki/House_Baratheon_of_Dragonstone"""
"""ec0c691b-b1cc-4461-92af-e4d92d83ab15""","""House Frey""","""/wiki/House_Frey"""
"""ed84517a-b599-46a1-9726-ea26e0fd9799""","""House Martell""","""/wiki/House_Martell"""
"""11df1638-fa11-4d01-b9ed-faa53851b46d""","""House Hetherspoon""","""/wiki/House_Hetherspoon"""
"""6864bb01-1bd4-4f74-8a1f-e339ca09eaf8""","""House Hollard""","""/wiki/House_Hollard"""
"""9ca666a6-4433-440a-a86e-53c2cea1b485""","""House Waynwood""","""/wiki/House_Waynwood"""
"""a439945a-404d-4f88-8e02-a6f6a468b65e""","""House Blackmont""","""/wiki/House_Blackmont"""
"""44dfc919-e3fa-4cb8-91a6-3970d4f49552""","""House Humble""","""/wiki/House_Humble"""
"""bf1ef978-915a-4e94-9f67-ca9c098180e3""","""House Umber""","""/wiki/House_Umber"""
"""5822f437-82f9-4c16-a352-c7e50716eaf5""","""House Clegane""","""/wiki/House_Clegane"""
"""94476c4e-9264-41b2-ab7e-6e39f5d552d4""","""House Erenford""","""/wiki/House_Erenford"""
"""6d84a7f5-b4ae-4099-9162-4165b042771e""","""House Dondarrion""","""/wiki/House_Dondarrion"""
"""e35c5f7d-2706-4414-93cf-1ccc19c05934""","""House Seaworth""","""/wiki/House_Seaworth"""
"""c7049d94-4c72-4b4d-bce8-1b62d3d9b004""","""House Wode""","""/wiki/House_Wode"""
"""6a5a6c7c-36ba-4ab2-8b3d-2f4b8add26f8""","""House Selmy""","""/wiki/House_Selmy"""
"""30d315bf-6592-420b-bfad-81c80be20599""","""House Bolton""","""/wiki/House_Bolton"""
"""0cf1abb1-4f6f-4924-baf4-55efb3a2910c""","""House Marsh""","""/wiki/House_Marsh"""
"""06c096e1-9a29-4d65-aa0b-c1648b12eeb9""","""House Moore""","""/wiki/House_Moore"""
"""4efcc1bd-20d1-4ec7-8df3-14adeb33e06e""","""House Baelish""","""/wiki/House_Baelish"""
"""bf9c99d8-66d3-428e-b9e8-a10235097407""","""House Uller""","""/wiki/House_Uller"""
"""64bd85a7-30d1-4805-80d2-5051e813940d""","""House Egen""","""/wiki/House_Egen"""
"""211fd01b-7ce4-4354-92e1-c531b407a2d9""","""House Rykker""","""/wiki/House_Rykker"""
"""d65a7ec7-196d-4979-830d-2637354407da""","""House Corbray""","""/wiki/House_Corbray"""
"""c06762f0-7aab-464c-8c57-0a31560111f4""","""House Stark""","""/wiki/House_Stark"""
"""7542aabc-e0b9-4c63-a926-83dcc957e5ea""","""House Tully""","""/wiki/House_Tully"""
"""baa9a1a1-a332-4d82-aa3f-1a501f9113a8""","""House Tarth""","""/wiki/House_Tarth"""
"""39811942-153b-48bf-92f0-ef4e59e6ec1b""","""House Lorch""","""/wiki/House_Lorch"""
"""aa74cfba-dfbd-4ad3-a01e-937c5cdff220""","""House Greyjoy""","""/wiki/House_Greyjoy"""
"""3d52c268-c8da-4d3b-aa20-a11b368810e5""","""House Kenning""","""/wiki/House_Kenning"""
"""25ba7fc3-b42f-467b-b31d-10567138d32b""","""House Marbrand""","""/wiki/House_Marbrand"""
