"""uuid""","""number""","""c.season""","""id""","""title"""
"""5b7507b4-5155-4f8c-a9e2-f2575cd817e9""",4,3,24,"""And Now His Watch Is Ended"""
"""d08f635a-1d86-4b66-a4b0-14636bdd720d""",5,3,25,"""Kissed by Fire"""
"""45ad9bae-6aa0-4481-8eeb-dfd211a72cbb""",6,3,26,"""The Climb"""
"""ec21c855-c3b7-4c96-92e7-4275b70a5d70""",7,3,27,"""The Bear and the Maiden Fair"""
"""3875b13e-78cf-481f-880e-7d8efb6d6597""",8,3,28,"""Second Sons"""
"""eddddeca-334a-4da1-8bd0-6f226e6b20a9""",9,3,29,"""The Rains of Castamere"""
"""ad651ed3-4e3e-4ae8-a8a2-f5c87b435471""",10,3,30,"""Mhysa"""
"""1d3e371d-abdf-4e0a-82fc-fc53f6ece004""",1,4,31,"""Two Swords"""
"""9cdf5840-ec0e-4c65-9f1a-ccf13c407480""",2,4,32,"""The Lion and the Rose"""
"""98f6b803-e24f-4c48-9127-40d5058e090a""",3,4,33,"""Breaker of Chains"""
"""bae799f0-08a7-4396-900d-738e55dccb6d""",4,4,34,"""Oathkeeper"""
"""9efb7193-dc69-41fa-8373-3b05773f9f65""",5,4,35,"""First of His Name"""
"""855df4bd-523c-48b2-aa9c-a302b6220c0a""",6,4,36,"""The Laws of Gods and Men"""
"""65d1df59-25aa-4243-ad6b-e4d83e40153f""",7,4,37,"""Mockingbird"""
"""da8c8828-9a38-4f38-8e95-0bee1feee2c6""",8,4,38,"""The Mountain and the Viper"""
"""dab35c7c-fb99-49b0-a322-447810aca7a3""",9,4,39,"""The Watchers on the Wall"""
"""db348154-6848-46a0-bf5e-91f41fa22a48""",10,4,40,"""The Children"""
"""1b069d49-9096-49d7-9703-8d0bf8993d6b""",1,5,41,"""The Wars to Come"""
"""a7bbeb1b-6188-4577-9695-b871ddfbe0ce""",2,5,42,"""The House of Black and White"""
"""5a2f438a-b319-488f-a57a-8276d302f2f5""",3,5,43,"""High Sparrow"""
"""9767cbc0-3173-412b-8fda-31f87a6041cb""",4,5,44,"""Sons of the Harpy"""
"""56cd2514-86d7-4ff4-8dd4-a934a234a9cf""",5,5,45,"""Kill the Boy"""
"""729beee5-2e16-4772-9172-de32e09e3aa1""",6,5,46,"""Unbowed, Unbent, Unbroken"""
"""f98af412-03aa-4e2b-a0a6-b67cd8f748af""",7,5,47,"""The Gift"""
"""2b36340b-d1dd-4eac-ad19-376b942e9d25""",8,5,48,"""Hardhome"""
"""a1532b16-f4c9-4d79-b665-47c6eab045bf""",9,5,49,"""The Dance of Dragons"""
"""67072eeb-10e0-4daf-a2e3-06c43096b173""",10,5,50,"""Mother's Mercy"""
"""8c5cd546-904e-4318-a1a4-6ea1fd2fbff5""",1,6,51,"""The Red Woman"""
"""ff9db96a-8651-46bf-ab2e-35e365c2f0d3""",2,6,52,"""Home"""
"""5b3a544c-5bc2-44ee-b010-1d71d5bb07ce""",3,6,53,"""Oathbreaker"""
"""24298ba8-1c36-4a14-bc22-d1166ae95222""",4,6,54,"""Book of the Stranger"""
"""a25994d5-54a5-4a78-bf9a-403d42330630""",5,6,55,"""The Door"""
"""ebdef40b-b6bb-43c9-b032-f3d73981fba9""",6,6,56,"""Blood of My Blood"""
"""29801d30-cf95-48c3-a11d-44aff84890a1""",7,6,57,"""The Broken Man"""
"""884ad781-be7a-4007-8971-ab6103eff5ae""",8,6,58,"""No One"""
"""c034452f-d000-4dc0-b001-dacfc97bbef7""",9,6,59,"""Battle of the Bastards"""
"""a94d825f-5cd8-466d-8ee9-ac562374d21e""",10,6,60,"""The Winds of Winter"""
"""0902c3a8-b26a-4066-8bae-d6809eb19b8d""",1,1,1,"""Winter Is Coming"""
"""e236a9d9-1a4e-4d6e-a829-330f39bea3de""",2,1,2,"""The Kingsroad"""
"""4fc14f7f-7929-4a44-918d-3d561688eca4""",3,1,3,"""Lord Snow"""
"""053fc765-be79-403d-b00b-e48a297a9896""",4,1,4,"""Cripples, Bastards, and Broken Things"""
"""5e6ebe65-fb36-47f0-a711-b0c8e0ee6391""",5,1,5,"""The Wolf and the Lion"""
"""3dfed392-5b09-4349-9926-9e46dfbfebff""",6,1,6,"""A Golden Crown"""
"""a4d54d20-40c4-46c5-bf7d-9dd15733c448""",7,1,7,"""You Win or You Die"""
"""81f14f60-e65e-49dd-962d-c88331aa23d5""",8,1,8,"""The Pointy End"""
"""845526ea-885a-4c78-93f0-00252129f214""",9,1,9,"""Baelor"""
"""6791191b-0f17-42ee-ac65-8d3208ab8574""",10,1,10,"""Fire and Blood"""
"""338fab22-9aa4-49f8-8bf0-dcfee78f2ef1""",1,2,11,"""The North Remembers"""
"""2015225f-4796-4fd9-97e2-3f64179e2bd4""",2,2,12,"""The Night Lands"""
"""b616a256-ea87-4834-9f1d-05f05f689fa9""",3,2,13,"""What Is Dead May Never Die"""
"""48299dba-c515-4f2c-a512-7d8020c575c6""",4,2,14,"""Garden of Bones"""
"""6ec23711-7c0f-43cb-98c0-7fe9f39a58dd""",5,2,15,"""The Ghost of Harrenhal"""
"""804ef495-7cc6-4e15-84a7-2e600e215c18""",6,2,16,"""The Old Gods and the New"""
"""78dc703e-cef5-44b5-8915-2b97e5faf692""",7,2,17,"""A Man Without Honor"""
"""301dfc15-cc11-4442-81eb-757ba7499bc7""",8,2,18,"""The Prince of Winterfell"""
"""027ad7bf-bacd-497e-8524-1ece12397f14""",9,2,19,"""Blackwater"""
"""e832306e-7c68-45cd-9884-31189965c2f6""",10,2,20,"""Valar Morghulis"""
"""788259a0-2ac2-4f82-ae8b-52f947ed7970""",1,3,21,"""Valar Dohaeris"""
"""7037f1a1-45c1-4293-853d-81161aa37012""",2,3,22,"""Dark Wings, Dark Words"""
"""987d4031-afe4-4020-8e22-40a4ed81deae""",3,3,23,"""Walk of Punishment"""
"""90ba67d2-364a-4f85-b0bd-de36c27cf383""",4,3,24,"""And Now His Watch Is Ended"""
"""89cfa4a5-baaf-4b79-95d7-cb2dc3c4295f""",5,3,25,"""Kissed by Fire"""
"""b5c85821-fff6-4f72-b9d9-bc336593d63c""",6,3,26,"""The Climb"""
"""e09c0b72-69d5-4c55-9bd5-5124eb150909""",7,3,27,"""The Bear and the Maiden Fair"""
"""0662931b-2309-4b7b-87a8-d7758da75161""",8,3,28,"""Second Sons"""
"""dae04d5e-ce4b-4dbe-a707-5bf4a790ccd8""",9,3,29,"""The Rains of Castamere"""
"""1f890267-b349-4578-9dc6-a252d9a57508""",10,3,30,"""Mhysa"""
"""425df1a8-930a-4e16-afd1-2e3da2a2811c""",1,4,31,"""Two Swords"""
"""12ec10ab-5027-453d-9b9c-96e4ef547132""",2,4,32,"""The Lion and the Rose"""
"""32d51509-7129-44ba-83a0-0c77a9a1a05c""",3,4,33,"""Breaker of Chains"""
"""52befb0b-9492-47ab-9102-14ee61a54290""",4,4,34,"""Oathkeeper"""
"""0ad860a0-6a48-416e-a9cb-4e4cfd63afeb""",5,4,35,"""First of His Name"""
"""35eb60a6-6ebe-4f31-8ed2-1673319fe80e""",6,4,36,"""The Laws of Gods and Men"""
"""a631bc24-b819-43c9-b075-7adeb2bd180c""",7,4,37,"""Mockingbird"""
"""ae3c6f4c-41b0-4c6e-a076-67f1ebbc8037""",8,4,38,"""The Mountain and the Viper"""
"""63b2ebee-0844-48f1-b303-29ba5815d225""",9,4,39,"""The Watchers on the Wall"""
"""f80ca279-1726-43ae-9c80-a5afa1c2b023""",10,4,40,"""The Children"""
"""ef8250eb-a93f-4667-a2b1-c9101393edac""",1,5,41,"""The Wars to Come"""
"""df014452-c0c9-440d-b400-63f361e9a3b7""",2,5,42,"""The House of Black and White"""
"""1247dd0b-cd12-4859-bb0a-30ebd4281827""",3,5,43,"""High Sparrow"""
"""122e0832-a168-4bcb-bfd4-12cc0ca5aaa7""",4,5,44,"""Sons of the Harpy"""
"""5dc8667c-257b-4534-90d7-a8fb0e0c6010""",5,5,45,"""Kill the Boy"""
"""9fbb2822-2b4e-478c-b03f-cda821fe501f""",6,5,46,"""Unbowed, Unbent, Unbroken"""
"""bea741cd-2cd3-4cbf-a2dd-7d65340b5a9e""",7,5,47,"""The Gift"""
"""2467ee10-cf53-422a-a907-1a29df4c1007""",8,5,48,"""Hardhome"""
"""3611466b-06d9-44d7-b276-8ee588933852""",9,5,49,"""The Dance of Dragons"""
"""73b1b17c-600a-48f9-920f-10037eedacd9""",10,5,50,"""Mother's Mercy"""
"""a5f39b2f-aaef-4ac3-afad-34eda262c38c""",1,6,51,"""The Red Woman"""
"""6fc294f8-4d96-4dc4-9c48-db2eaae87995""",2,6,52,"""Home"""
"""57e839f5-6ab4-45e6-8947-b063441a35d0""",3,6,53,"""Oathbreaker"""
"""a7d05f71-0c63-462e-a9b5-eeb5c464e8a7""",4,6,54,"""Book of the Stranger"""
"""c1b0d031-062f-4d8e-8024-d9efb632e613""",5,6,55,"""The Door"""
"""bd242d6b-1276-4601-bfc3-9557e3b42bbd""",6,6,56,"""Blood of My Blood"""
"""0f48558b-29bc-4675-8252-af743ab514a2""",7,6,57,"""The Broken Man"""
"""38dcef60-b920-46ee-bcca-b29fc490cfe2""",8,6,58,"""No One"""
"""215036a1-216a-40d6-bf95-4da1248649a5""",9,6,59,"""Battle of the Bastards"""
"""94389fd7-d131-4f51-b9a3-0f33348b7e59""",10,6,60,"""The Winds of Winter"""
"""879da7a8-41bb-4652-9ff2-6f47bdc16ece""",1,1,1,"""Winter Is Coming"""
"""6a329ed9-fef8-413c-84df-b5b5e7b6a7fe""",2,1,2,"""The Kingsroad"""
"""91880a29-0269-48e5-afeb-2830e0dba971""",3,1,3,"""Lord Snow"""
"""4c2c9d31-09b4-4e48-97cb-fb83fb5e1b53""",4,1,4,"""Cripples, Bastards, and Broken Things"""
"""cbd7ed0f-21ff-4eb7-adac-bbcfcc34fe45""",5,1,5,"""The Wolf and the Lion"""
"""c8ef3d2f-b95c-4126-86e9-6883a8a96ec0""",6,1,6,"""A Golden Crown"""
"""203f07f8-f1ae-4c38-8a5e-69722e45e94e""",7,1,7,"""You Win or You Die"""
"""872965ee-9926-4430-b3ff-3e785f918674""",8,1,8,"""The Pointy End"""
"""ff17e82c-fa77-4ec0-b80c-e1cdab879e0c""",9,1,9,"""Baelor"""
"""37a3ebf7-8900-4c23-b05e-f6c86a0ae8d9""",10,1,10,"""Fire and Blood"""
"""ae65b4ac-0b3c-45a2-8286-edaae7dab646""",1,2,11,"""The North Remembers"""
"""c7c334c3-9618-4c67-b049-77bd739acf86""",2,2,12,"""The Night Lands"""
"""9fe8f4b5-a59c-4e94-996d-11fa2f7ac7cc""",3,2,13,"""What Is Dead May Never Die"""
"""53dc9873-8cc8-47f2-9754-de7aa34ce054""",4,2,14,"""Garden of Bones"""
"""a303bd13-b982-42ce-896c-d44c6def78d2""",5,2,15,"""The Ghost of Harrenhal"""
"""8bb1d3a5-d153-44eb-9ffd-4fc18e9e19d6""",6,2,16,"""The Old Gods and the New"""
"""186506ce-c96e-4a7e-9408-97aec2e5c4d4""",7,2,17,"""A Man Without Honor"""
"""2c7c4638-50da-4859-905e-bc2097cf30a0""",8,2,18,"""The Prince of Winterfell"""
"""94d3c9c8-2781-4306-ae97-09a15d989df5""",9,2,19,"""Blackwater"""
"""945a011f-b98a-4505-b205-f64daa64217e""",10,2,20,"""Valar Morghulis"""
"""a05be6e4-13f8-424e-bb22-a849c1ed3e24""",1,3,21,"""Valar Dohaeris"""
"""75145802-2827-4f9a-8ba5-a398b47754b6""",2,3,22,"""Dark Wings, Dark Words"""
"""41a7ce76-910b-4803-83fa-a3fa0b7100f8""",3,3,23,"""Walk of Punishment"""
"""21816145-a796-418f-9cff-921838dc7c86""",4,3,24,"""And Now His Watch Is Ended"""
"""f6974ca4-cd0f-4f13-b28f-79cf84c69d61""",5,3,25,"""Kissed by Fire"""
"""56f72562-f22a-4d0d-94fc-38d5db439967""",6,3,26,"""The Climb"""
"""25d52fb3-dc68-4920-b431-1b061208f862""",7,3,27,"""The Bear and the Maiden Fair"""
"""d74fc640-ad79-44e7-b373-af8cde7f365a""",8,3,28,"""Second Sons"""
"""2bc2dbd4-91cc-4318-8594-a217e9785b71""",9,3,29,"""The Rains of Castamere"""
"""b6f4194b-ba6a-4b2e-90ba-3cc76cb9457d""",10,3,30,"""Mhysa"""
"""7cce0bb6-5c96-478c-8cda-7455783c3f00""",1,4,31,"""Two Swords"""
"""cbbfe815-fac1-4e9c-a7d5-5020c54c9807""",2,4,32,"""The Lion and the Rose"""
"""3545403e-eaaa-4111-a550-d283669128ab""",3,4,33,"""Breaker of Chains"""
"""3e29c49c-949b-491a-97ac-e80e03a5909b""",4,4,34,"""Oathkeeper"""
"""d02f922a-3358-4e98-ae8d-607c405dacaf""",5,4,35,"""First of His Name"""
"""7d8266e5-c5b0-49ba-98b0-836a99f7c76b""",6,4,36,"""The Laws of Gods and Men"""
"""76eb9a3b-d928-44d1-bba2-fd6161a01ae4""",7,4,37,"""Mockingbird"""
"""b54b339a-f8c7-47fb-9063-669efc93e49b""",8,4,38,"""The Mountain and the Viper"""
"""aa9438b1-f2c7-4a62-8297-e9e1f18a4ac3""",9,4,39,"""The Watchers on the Wall"""
"""9ea94293-cde6-4a11-af97-8fa228924773""",10,4,40,"""The Children"""
"""23f443f3-bac4-4c91-a115-5614c03a5b81""",1,5,41,"""The Wars to Come"""
"""bdf239f6-a5ea-4854-85c4-585060f35f2e""",2,5,42,"""The House of Black and White"""
"""a85a99dc-d6c7-439f-ac4d-80d46f5aa7c3""",3,5,43,"""High Sparrow"""
"""c85f7fb3-8b28-46ee-8b59-7e361034c95b""",4,5,44,"""Sons of the Harpy"""
"""a6ec80f4-dc91-426b-be0d-11074e9270af""",5,5,45,"""Kill the Boy"""
"""1295df05-83b5-45b3-bc99-c7ec703566f8""",6,5,46,"""Unbowed, Unbent, Unbroken"""
"""10a6ffa6-9f2d-4d52-877e-4fb18e5e6e2c""",7,5,47,"""The Gift"""
"""9f271b01-aebc-418d-ae5b-5c8a83c542ad""",8,5,48,"""Hardhome"""
"""a65dc439-6e93-4efc-b482-9ac89d73c172""",9,5,49,"""The Dance of Dragons"""
"""62ee0968-31a1-42e1-9cc5-a8db4be02776""",10,5,50,"""Mother's Mercy"""
"""f4bf76af-b420-4339-94a3-622c3bcbc6a8""",1,6,51,"""The Red Woman"""
"""9ccc42cd-9dda-48bd-896c-a2f67b3e82cb""",2,6,52,"""Home"""
"""a631e3a9-c58f-4773-9ad0-3be774f7f118""",3,6,53,"""Oathbreaker"""
"""3b490e0f-675f-44e6-b954-1308e1d06eca""",4,6,54,"""Book of the Stranger"""
"""21ccaca7-659c-47df-b391-d7406ab791f9""",5,6,55,"""The Door"""
"""6cd18b24-7f6d-40af-aebd-35a8ff748596""",6,6,56,"""Blood of My Blood"""
"""6df50a09-7399-47ee-90af-382dca0a99ae""",7,6,57,"""The Broken Man"""
"""604f1f14-b781-44b1-8548-8d9418352502""",8,6,58,"""No One"""
"""2b71297d-4987-4692-955d-678a0b2e7426""",9,6,59,"""Battle of the Bastards"""
"""7de6f095-a7c0-47c3-8598-3a888aef8840""",10,6,60,"""The Winds of Winter"""
